"team","med.scr","mn.scr","sd.scr"
"49ers",3,3.81,1.793
"Bears",17,17.28,3.493
"Bengals",6,6.69,2.543
"Bills",22,21.91,3.694
"Broncos",2,2.03,0.467
"Browns",28,27.09,2.31
"Buccaneers",25.5,25.19,2.811
"Cardinals",12,12.41,3.831
"Chargers",14,13.42,2.86
"Chiefs",21.5,21.69,4.216
"Colts",9.5,10.47,3.725
"Cowboys",24.5,23.72,3.76
"Dolphins",13,12.75,4.38
"Eagles",8,7.94,2.882
"Falcons",12,11.72,3.685
"Giants",26,25.31,3.245
"Jaguars",30,29.94,1.059
"Jets",20.5,19.97,3.293
"Lions",11,11.44,3.4
"Packers",8.5,9.13,4.021
"Panthers",9.5,9.59,4.443
"Patriots",7,7.34,2.868
"Raiders",31,30.19,1.402
"Rams",32,31.31,2.324
"Ravens",18.5,18.34,3.303
"Redskins",29,28.19,2.686
"Saints",5,6.28,3.054
"Seahawks",1,1.06,0.242
"Steelers",17,17.31,4.058
"Texans",25,23.91,3.643
"Titans",20,20.03,3.331
"Vikings",20.5,20.75,4.444
