"team","med.scr","mn.scr","sd.scr"
"49ers",9.5,9.77,3.019
"Bears",14,13.97,2.575
"Bengals",2,2.03,0.912
"Bills",22,21.17,3.236
"Broncos",3,2.93,1.153
"Browns",25,23.23,3.095
"Buccaneers",29,28.9,1.599
"Cardinals",4,4.57,1.927
"Chargers",5,4.6,1.143
"Chiefs",16.5,16.77,3.393
"Colts",9.5,8.93,2.394
"Cowboys",13,13.63,3.167
"Dolphins",21,21.03,2.834
"Eagles",7.5,8.3,2.818
"Falcons",16,16.47,3.792
"Giants",19.5,19.3,3.796
"Jaguars",31,31.23,0.803
"Jets",26,25,2.266
"Lions",8,8.23,2.29
"Packers",9,9.97,2.345
"Panthers",15,14.97,3.136
"Patriots",14.5,15.23,4.271
"Raiders",32,31.5,0.671
"Rams",28,28.27,1.788
"Ravens",8,8.97,2.915
"Redskins",28,27.47,2.63
"Saints",22,21.53,3.748
"Seahawks",1,1.73,1.031
"Steelers",20,20.03,2.763
"Texans",18,16.9,4.46
"Titans",29,28.4,1.685
"Vikings",22.5,22.97,2.345
