"team","med.scr","mn.scr","sd.scr"
"49ers",6,6.72,2.348
"Bears",13,13.41,2.119
"Bengals",3.5,4.25,2.016
"Bills",15,15,4.576
"Broncos",2,2.19,2.364
"Browns",23,22.06,4.717
"Buccaneers",30,29.59,1.578
"Cardinals",9,10.22,4.973
"Chargers",9,8.75,2.165
"Chiefs",24.5,23.03,4.889
"Colts",13,13.94,5.105
"Cowboys",22,21.19,3.695
"Dolphins",17,16.88,2.274
"Eagles",6,7.03,3.704
"Falcons",14,14.81,2.941
"Giants",28,26.78,4.285
"Jaguars",32,31.44,0.864
"Jets",20,20.75,3.172
"Lions",14,14.56,3.142
"Packers",9,8.75,3.01
"Panthers",4.5,5.88,3.305
"Patriots",6,5.75,1.887
"Raiders",31,30.06,4.085
"Rams",29,28.44,2.371
"Ravens",16,15.81,4.275
"Redskins",26.5,25.94,3.409
"Saints",14,14.81,5.976
"Seahawks",1.5,1.97,2.417
"Steelers",20.5,20.44,4.22
"Texans",19.5,19.34,4.694
"Titans",23.5,23.59,2.192
"Vikings",25,24.09,3.176
