"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Philadelphia","4","1","0",".800","3-0","1-1","1-0","2-1","156","132","+24","Won 1"
"Dallas","4","1","0",".800","2-1","2-0","0-0","2-1","135","103","+32","Won 4"
"NY Giants","3","2","0",".600","2-1","1-1","1-0","2-2","133","111","+22","Won 3"
"Washington","1","4","0",".200","1-2","0-2","0-2","0-3","112","136","-24","Lost 3"
"Detroit","3","2","0",".600","2-1","1-1","1-0","2-1","99","79","+20","Lost 1"
"Green Bay","3","2","0",".600","2-0","1-2","2-1","2-2","134","106","+28","Won 2"
"Minnesota","2","3","0",".400","1-1","1-2","0-1","2-2","101","126","-25","Lost 1"
"Chicago","2","3","0",".400","0-2","2-1","0-1","1-2","116","131","-15","Lost 2"
"Carolina","3","2","0",".600","2-1","1-1","1-0","3-0","104","120","-16","Won 1"
"Atlanta","2","3","0",".400","2-0","0-3","2-0","2-2","151","143","+8","Lost 2"
"New Orleans","2","3","0",".400","2-0","0-3","1-1","2-2","132","141","-9","Won 1"
"Tampa Bay","1","4","0",".200","0-2","1-2","0-3","0-4","103","156","-53","Lost 1"
"Arizona","3","1","0",".750","2-0","1-1","1-0","2-0","86","86","0","Lost 1"
"Seattle","3","1","0",".750","2-0","1-1","0-0","2-0","110","83","+27","Won 2"
"San Francisco","3","2","0",".600","2-1","1-1","0-1","2-2","110","106","+4","Won 2"
"St. Louis","1","3","0",".250","0-2","1-1","0-0","1-3","84","119","-35","Lost 2"
"Buffalo","3","2","0",".600","1-1","2-1","1-0","1-2","96","89","+7","Won 1"
"New England","3","2","0",".600","2-0","1-2","0-1","2-2","123","107","+16","Won 1"
"Miami","2","2","0",".500","1-1","1-1","1-1","2-2","96","97","-1","Won 1"
"NY Jets","1","4","0",".200","1-2","0-2","0-0","1-1","79","127","-48","Lost 4"
"Cincinnati","3","1","0",".750","2-0","1-1","1-0","2-1","97","76","+21","Lost 1"
"Baltimore","3","2","0",".600","2-1","1-1","2-1","2-2","116","80","+36","Lost 1"
"Pittsburgh","3","2","0",".600","1-1","2-1","1-1","2-1","114","108","+6","Won 1"
"Cleveland","2","2","0",".500","1-1","1-1","0-2","1-2","103","105","-2","Won 1"
"Houston","3","2","0",".600","2-0","1-2","0-0","2-0","104","87","+17","Lost 1"
"Indianapolis","3","2","0",".600","2-1","1-1","2-0","3-1","156","108","+48","Won 3"
"Tennessee","1","4","0",".200","0-2","1-2","0-1","1-3","88","139","-51","Lost 4"
"Jacksonville","0","5","0",".000","0-2","0-3","0-1","0-3","67","169","-102","Lost 5"
"San Diego","4","1","0",".800","3-0","1-1","0-0","3-0","133","63","+70","Won 4"
"Denver","3","1","0",".750","3-0","0-1","1-0","2-0","116","87","+29","Won 1"
"Kansas City","2","3","0",".400","1-1","1-2","0-1","2-2","119","101","+18","Lost 1"
"Oakland","0","4","0",".000","0-2","0-2","0-0","0-4","51","103","-52","Lost 4"
