"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Philadelphia","3","0","0","1.000","2-0","1-0","1-0","1-0","101","78","+23","Won 3"
"Dallas","2","1","0",".667","0-1","2-0","0-0","1-1","77","69","+8","Won 2"
"NY Giants","1","2","0",".333","1-1","0-1","0-0","0-2","58","77","-19","Won 1"
"Washington","1","2","0",".333","1-0","0-2","0-1","0-1","81","64","+17","Lost 1"
"Detroit","2","1","0",".667","2-0","0-1","1-0","2-1","61","45","+16","Won 1"
"Chicago","2","1","0",".667","0-1","2-0","0-0","1-0","75","62","+13","Won 2"
"Minnesota","1","2","0",".333","0-1","1-1","0-0","1-1","50","56","-6","Lost 2"
"Green Bay","1","2","0",".333","1-0","0-2","0-1","0-2","54","79","-25","Lost 1"
"Carolina","2","1","0",".667","1-1","1-0","1-0","2-0","63","58","+5","Lost 1"
"Atlanta","2","1","0",".667","2-0","0-1","2-0","2-0","103","72","+31","Won 1"
"New Orleans","1","2","0",".333","1-0","0-2","0-1","1-1","78","72","+6","Won 1"
"Tampa Bay","0","3","0",".000","0-2","0-1","0-2","0-3","45","95","-50","Lost 3"
"Arizona","3","0","0","1.000","2-0","1-0","1-0","2-0","66","45","+21","Won 3"
"Seattle","2","1","0",".667","2-0","0-1","0-0","1-0","83","66","+17","Won 1"
"San Francisco","1","2","0",".333","0-1","1-1","0-1","1-2","62","68","-6","Lost 2"
"St. Louis","1","2","0",".333","0-2","1-0","0-0","1-2","56","85","-29","Lost 1"
"Buffalo","2","1","0",".667","1-1","1-0","1-0","1-1","62","52","+10","Lost 1"
"New England","2","1","0",".667","1-0","1-1","0-1","1-1","66","49","+17","Won 2"
"NY Jets","1","2","0",".333","1-1","0-1","0-0","1-0","62","72","-10","Lost 2"
"Miami","1","2","0",".333","1-1","0-1","1-1","1-2","58","83","-25","Lost 2"
"Cincinnati","3","0","0","1.000","2-0","1-0","1-0","2-0","80","33","+47","Won 3"
"Baltimore","2","1","0",".667","1-1","1-0","2-1","2-1","65","50","+15","Won 2"
"Pittsburgh","2","1","0",".667","1-0","1-1","1-1","1-1","73","72","+1","Won 1"
"Cleveland","1","2","0",".333","1-1","0-1","0-2","0-2","74","77","-3","Lost 1"
"Houston","2","1","0",".667","1-0","1-1","0-0","1-0","64","50","+14","Lost 1"
"Indianapolis","1","2","0",".333","0-1","1-1","1-0","1-1","95","78","+17","Won 1"
"Tennessee","1","2","0",".333","0-1","1-1","0-0","1-1","43","69","-26","Lost 2"
"Jacksonville","0","3","0",".000","0-1","0-2","0-1","0-1","44","119","-75","Lost 3"
"Denver","2","1","0",".667","2-0","0-1","1-0","2-0","75","67","+8","Lost 1"
"San Diego","2","1","0",".667","1-0","1-1","0-0","1-0","69","49","+20","Won 2"
"Kansas City","1","2","0",".333","0-1","1-1","0-1","1-2","61","65","-4","Won 1"
"Oakland","0","3","0",".000","0-1","0-2","0-0","0-3","37","65","-28","Lost 3"
